unique_id,address
53313442387,5 ODARA Mews TARNEIT 3029
53313442405,14 DUNKERRIN Avenue GISBORNE 3437
53313442437,3 COUNSEL Road FRASER RISE 3336
53313442504,16 WELLINGTON Crescent TORQUAY 3228
53313442544,73 NAVIGATION Road TARNEIT 3029
53313442585,3 LAUREL Court SUNBURY 3429
53313442611,8 BUKOVO Street TARNEIT 3029
53313442643,14 PERIDOT Way ALFREDTON 3350
53313442684,45 AVION Crescent TRUGANINA 3029
53313442710,20 HENLIX Court MOUNT CLEAR 3350
53313442742,8 WOOLMAN Street LARA 3212
53313442775,31 GIBSONS Circuit BONNIE BROOK 3335
53313442791,29 ROWANDS Street MOUNT DUNEED 3217
53313442841,16 VERDALE Drive ALFREDTON 3350
53313442874,13 TOWERTREE Street TRUGANINA 3029
53313442900,9 CHLOE Street TARNEIT 3029
53313401287,58 KINGDOM Boulevard WEIR VIEWS 3338
53313401313,23 ENDURANCE Way POINT COOK 3030
53313401337,56 KING Street KOROIT 3282
53313401444,17 ROWANDS Street MOUNT DUNEED 3217
53313401460,37 JOEY Crescent DEANSIDE 3336
53313401511,80 CLARKES Road FYANSFORD 3218
53313401543,8 POLMONT Avenue THORNHILL PARK 3335
53313401576,2 ALDERNEY Street TARNEIT 3029
53313401592,8 ALDERNEY Street TARNEIT 3029
53313401610,6 ALDERNEY Street TARNEIT 3029
53313401642,16 ALDERNEY Street TARNEIT 3029
53313401675,20 ALDERNEY Street TARNEIT 3029
53313401725,17 LIME Crescent DIGGERS REST 3427
53313401741,39 GRAINGER Parade LUCAS 3350
53313401774,37 BRENTHAM Crescent WERRIBEE 3030
53313401790,39 BRENTHAM Crescent WERRIBEE 3030
53313401818,43 BRENTHAM Crescent WERRIBEE 3030
53313401866,12 OAKWOOD Avenue JACKASS FLAT 3556
53313401949,3 RAHUL Street THORNHILL PARK 3335
53313401972,17 YELLOW GUM Way MOUNT DUNEED 3217
53313401998,15 NYON Road ALFREDTON 3350
53313402104,33 MUSHU Street DEANSIDE 3336
53313402128,8 DUNKERRIN Avenue GISBORNE 3437
53313402144,6 PATRIOT Crescent SMYTHES CREEK 3351
53313447313,49 NORMANBY Boulevard DEANSIDE 3336
53313447337,17 JOEY Crescent DEANSIDE 3336
53313447361,11 COOLBINIA Avenue WERRIBEE 3030
53313447386,13 JOEY Crescent DEANSIDE 3336
